state_long,state_short,elec_year,gelec_dem,gelec_rep,gelec_oth,state_name,temp_mean,temp_max_max,temp_max_mean,gelec_total,rep_share,dem_share,ln_temp_mean,ln_temp_max_max,ln_temp_max_mean
Alabama,AL,2008,752391,1305383,2417,,,,,2060191.0,0.6336223194839702,0.36520448832171387,,,
Alaska,AK,2008,151767,147814,18142,Alaska,7.2307690000000004,10.0,10.0,317723.0,0.46522914614302396,0.4776708012954681,1.978345392893573,2.302585092994046,2.302585092994046
Arkansas,AR,2008,804678,,207076,Arkansas,60.75,74.0,74.0,1011754.0,,0.7953296947677004,4.1067670822206574,4.30406509320417,4.30406509320417
Colorado,CO,2008,1231049,990784,109879,Colorado,50.42613627272727,79.0,63.95454545454545,2331712.0,0.42491697087805014,0.5279592848516454,3.9205096175026477,4.3694478524670215,4.158172603756073
Delaware,DE,2008,257539,140595,,,,,,398134.0,0.3531348741880874,0.6468651258119126,,,
Georgia,GA,2008,2667316,3095130,127995,Georgia,59.71428571428572,75.0,70.57142857142857,5890441.0,0.5254496225325065,0.45282110456585506,4.089571283469443,4.31748811353631,4.256625368132609
Idaho,ID,2008,219903,371744,53133,Idaho,39.353438153846156,50.0,43.42307692307692,644780.0,0.576543937467043,0.34105121126585813,3.672583344714819,3.912023005428146,3.77099102612818
Illinois,IL,2008,3615844,1520621,193419,Illinois,60.09374975,74.0,72.5,5329884.0,0.28530095589322396,0.6784095113514665,4.0959058386288865,4.30406509320417,4.283586561860629
Iowa,IA,2008,941665,560006,1247,Iowa,63.01515154545455,74.0,72.63636363636364,1502918.0,0.37261247785973683,0.6265578028874497,4.143375198197371,4.30406509320417,4.285465672967904
Kansas,KS,2008,441399,727121,42170,,,,,1210690.0,0.6005839645161024,0.36458465833532944,,,
Kentucky,KY,2008,847005,953816,,Kentucky,56.497023714285724,77.0,73.64285714285714,1800821.0,0.5296561957018493,0.4703438042981507,4.034187959141619,4.343805421853684,4.299227154401701
Louisiana,LA,2008,988298,867177,41099,Louisiana,62.24999966666667,79.0,78.0,1896574.0,0.45723341140393153,0.5210964613033818,4.131158529990064,4.3694478524670215,4.356708826689592
