"state_long","state_short","elec_year","gelec_dem","gelec_rep","gelec_oth","temp_mean","temp_max_max","temp_max_mean","gelec_total","rep_share","dem_share","ln_temp_mean","ln_temp_max_max","ln_temp_max_mean"
"Michigan","MI",2008,3038386,1641070,169164,57.617647,72,70.2352941176471,4848620,0.338461252892576,0.626649644641156,4.05382889230745,4.27666611901606,4.25185094989633
"Minnesota","MN",2008,1212629,1212317,462700,56.8333335,67,64.5,2887646,0.419828815581965,0.419936862066888,4.04012301098801,4.20469261939097,4.16666522380173
"Mississippi","MS",2008,480915,766111,1243473,,,,2490499,0.307613454171232,0.193099856695385,,,
"Montana","MT",2008,348289,129369,,41.2916666363636,59,49.2727272727273,477658,0.270840224595841,0.729159775404159,3.72066070324816,4.07753744390572,3.89737072864128
"Nebraska","NE",2008,317456,455854,19201,,,,792511,0.575202110759346,0.400569834361921,,,
"New Hampshire","NH",2008,358438,314403,21946,,,,694787,0.452517102363746,0.515896238703372,,,
"New Jersey","NJ",2008,1951218,1461025,70202,53.5,62,62,3482445,0.419540007092718,0.560301167714063,3.97968165390196,4.12713438504509,4.12713438504509
"New Mexico","NM",2008,505128,318522,,61.1574074444444,80,71.2777777777778,823650,0.386720087415771,0.613279912584229,4.11345099043781,4.38202663467388,4.26658460671947
"North Carolina","NC",2008,2249311,1887510,135149,56.9519230769231,72,63.3076923076923,4271970,0.441835967949213,0.526527808013633,4.04220745713559,4.27666611901606,4.14800684321553
"Oklahoma","OK",2008,527736,763375,55708,64.0925926666667,77,74.2222222222222,1346819,0.566798508188554,0.391838843972353,4.16032879822681,4.34380542185368,4.30706359620043
"Oregon","OR",2008,864392,805159,97953,40.8717947692308,52,45.0769230769231,1767504,0.455534471209117,0.489046700884411,3.7104402107111,3.95124371858143,3.80837043211548
"Rhose Island","RI",2008,320644,116174,1994,,,,438812,0.264746634093872,0.730709278688823,,,
"South Carolina","SC",2008,790621,1076534,4276,,,,1871431,0.57524642906952,0.422468688399412,,,
"South Dakota","SD",2008,237889,142784,,54.5,68,62,380673,0.375083076551266,0.624916923448734,3.9982007016692,4.21950770517611,4.12713438504509
"Tennessee","TN",2008,767236,1579477,77872,54.111111,70,63,2424585,0.651442205573325,0.316440133053698,3.99103954369298,4.24849524204936,4.14313472639153
"Texas","TX",2008,3389365,4337469,185241,68.8169474660194,87,78.3495145631068,7912075,0.548208782146276,0.428378775479252,4.23145004405314,4.46590811865458,4.36117977303436
"Virginia","VA",2008,2369327,1228830,45137,50.104167,55,53,3643294,0.337285434554554,0.650325502141743,3.91410417828478,4.00733318523247,3.97029191355212
"West Virginia","WV",2008,447560,254629,119,,,,702308,0.3625603011784,0.637270257493863,,,
"Wyoming","WY",2008,126833,372109,562,41.6796982692308,67,51.2692307692308,499504,0.744956997341363,0.253917886543451,3.730014158197,4.20469261939097,3.93709078215723
"Alabama","AL",2010,515619,968181,1699,,,,1485499,0.651754730228698,0.347101546349072,,,
"Alaska","AK",2010,60045,90839,106654,21.416667,31,31,257538,0.352720763537808,0.233150059408709,3.06416945067142,3.43398720448515,3.43398720448515
"Arizona","AZ",2010,592011,1005615,110858,66.7612319333333,87,80.3333333333333,1708484,0.588600771210032,0.346512463681252,4.20112255178895,4.46590811865458,4.38618464482255
"Arkansas","AR",2010,288156,451618,40183,52.583333,61,61,779957,0.57902935674659,0.369451136408802,3.96239920641407,4.11087386417331,4.11087386417331
"California","CA",2010,5218137,4217386,564337,65.5391334516129,97.6,80.6006451612903,9999860,0.421744504423062,0.521821005494077,4.1826474215112,4.58087749341905,4.38950665396306
"Colorado","CO",2010,854685,824789,98194,48.5694443333333,72,64.5185185185185,1777668,0.463972462799578,0.480790001282579,3.88299461575965,4.27666611901606,4.16695229140812
"Connecticut","CT",2010,605204,498341,49570,41.1794872307692,54,50.1538461538462,1153115,0.43216938466675,0.524842708663056,3.71794024962239,3.98898404656427,3.91509520446512
"Delaware","DE",2010,174012,123053,10337,,,,307402,0.400299932986773,0.566073089960378,,,
"Florida","FL",2010,1092936,2645743,1672427,73.770833,82,80,5411106,0.488946806808072,0.20198014971431,4.30096343668551,4.40671924726425,4.38202663467388
"Georgia","GA",2010,996516,1489904,68838,55.989583125,67,61.5,2555258,0.583073803114989,0.389986451465958,4.0251656578071,4.20469261939097,4.11903717481247
"Hawaii","HI",2010,277228,79939,13416,59.625,68,68,370583,0.215711460050785,0.748086123756352,4.08807494920851,4.21950770517611,4.21950770517611
"Idaho","ID",2010,112057,319953,17520,49.5268254,70,60.9733333333333,449530,0.711750050052277,0.249275910395302,3.90251445005782,4.24849524204936,4.11043661012175
"Illinois","IL",2010,3360964,3456427,433066,43.8308332,55.9,51.78,7250457,0.476718502019942,0.463552021617396,3.78033752406067,4.02356438016105,3.94700397432339
"Indiana","IN",2010,697775,952116,94590,44.1435184814815,62,53.6296296296296,1744481,0.545787543687779,0.399990025686723,3.78744610951134,4.12713438504509,3.98210170694133
"Iowa","IA",2010,371686,718215,26162,42.725,59,55.1,1116063,0.643525499904575,0.333033171066508,3.75478422900165,4.07753744390572,4.00914971615887
"Kansas","KS",2010,220971,587175,29546,,,,837692,0.70094378363408,0.263785496339944,,,
"Kentucky","KY",2010,600052,755706,338,50.0000000714286,68,60.3571428571429,1356096,0.55726585728444,0.442484897824343,3.91202300685672,4.21950770517611,4.10027929774192
"Louisiana","LA",2010,476572,715415,73007,66.5516666,69,68.38,1264994,0.565548136987211,0.376738545795474,4.1979785873525,4.23410650459726,4.22508038421116
"Maryland","MD",2010,1140531,655666,37661,38.3365384615385,50,48.7692307692308,1833858,0.357533680361293,0.62192983317138,3.64640344823998,3.91202300542815,3.88709959697569
"Missouri","MO",2010,789736,1054160,100003,38.64583325,64,48.3333333333333,1943899,0.542291549097973,0.406263905686458,3.65443896197731,4.15888308335967,3.87812145375246
